Description,country,commodity,fac_name,latitude,longitude,capacity,Ticker
PT Antam Tbk,Indonesia,Nickel: ore,"Mine at Pomalaa, South Sulawesi and on Gebe Island",-4.33,120.25,80,#N/A
PT Antam Tbk,Indonesia,Nickel: ore,"Mine at Pomalaa, South Sulawesi and on Gebe Island",-0.08,129.33,80,#N/A
PT International Nickel Indonesia Tbk,Indonesia,Nickel: ore,Mine at Soroako,-2.52,121.35,70,#N/A
Kushiro Coal Mine Co. Ltd.,Japan,Coal,Mine at Kushiro,43,144.37,750,#N/A
Nippon Mining and Metals Co. Ltd. (wholly owned subsidiary of Nikko Kyodo Co. Ltd.),Japan,Copper: refined,Refinery at Hitachi,36.55,140.64,450,#N/A
Nippon Mining and Metals Co. Ltd. (wholly owned subsidiary of Nikko Kyodo Co. Ltd.),Japan,Copper: refined,Refinery at Saganoseki,33.25,131.88,450,#N/A
Sumitomo Metal Mining Co. Ltd.,Japan,Copper: refined,Refinery at Besshi/Toyo (Saijyo),33.85,133.38,410,SMFG
Onahama Smelting and Refining Co. Ltd.,Japan,Copper: refined,Refinery at Onahama,36.94,140.87,258,#N/A
Hibi Kyodo Smelting Co. Ltd.,Japan,Copper: refined,Refinery at Tamano,34.51,133.95,228,#N/A
Mitsubishi Materials Corp.,Japan,Copper: refined,Refinery at Naoshima,34.47,133.98,226,MUFG
Kosaka Smelting and  Refining Co. Ltd. (wholly owned subsidiary of Dowa Mining Co. Ltd.),Japan,Copper: refined,Refinery at Kosaka,40.33,140.75,72,#N/A
Sumitomo Metal Mining Co. Ltd.,Japan,Copper: refined,Refinery at Niihama,33.96,133.26,1,SMFG
Pacific Metals Co. Ltd.,Japan,Nickel: ferronickel,Plant at Hachinohe,40.55,141.49,41,#N/A
Hyuga Smelting Co. Ltd. (wholly owned subsidiary of Sumitomo Metal Mining Co. Ltd.),Japan,Nickel: ferronickel,Plant at Hyuga,32.45,131.65,21,#N/A
