Description,country,commodity,fac_name,latitude,longitude,capacity,symbol,Company_Type,Volume,Close,Date
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1503.0,23.31,2021-02-22
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1741.0,23.4616,2021-02-19
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2438.0,23.3892,2021-02-18
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3272.0,23.3333,2021-02-17
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4440.0,23.4,2021-02-16
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1182.0,23.2755,2021-02-12
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,649.0,23.1827,2021-02-11
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2729.0,23.12,2021-02-10
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4828.0,22.98,2021-02-09
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2134.0,22.98,2021-02-08
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,755.0,22.94,2021-02-05
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2873.0,22.7,2021-02-04
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,9887.0,22.66,2021-02-03
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5633.0,22.6533,2021-02-02
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1200.0,22.4338,2021-02-01
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,6688.0,22.03,2021-01-29
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,894.0,22.685,2021-01-28
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,37332.0,22.5,2021-01-27
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2420.0,22.64,2021-01-26
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2875.0,22.5861,2021-01-25
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,793.0,22.64,2021-01-22
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,128117.0,22.9966,2021-01-21
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1601.0,23.0138,2021-01-20
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5164.0,23.01,2021-01-19
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2380.0,22.9701,2021-01-15
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3214.0,23.2624,2021-01-14
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3174.0,23.02,2021-01-13
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,17940.0,22.91,2021-01-12
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3611.0,22.7949,2021-01-11
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,28005.0,23.01,2021-01-08
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1491.0,22.635,2021-01-07
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,18073.0,22.47,2021-01-06
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4036.0,22.27,2021-01-05
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4821.0,22.16,2021-01-04
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1580.0,22.07,2020-12-31
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,409.0,22.2,2020-12-30
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5907.0,22.21,2020-12-29
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,624.0,22.1193,2020-12-28
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,471.0,21.78,2020-12-24
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4178.0,21.6394,2020-12-23
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,16418.0,21.42,2020-12-22
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,130179.0,21.65,2020-12-21
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5821.0,22.02,2020-12-18
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4623.0,22.07,2020-12-17
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2092.0,22.042,2020-12-16
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,660.0,21.96,2020-12-15
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5716.0,21.87,2020-12-14
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1011.0,21.75,2020-12-11
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4350.0,21.82,2020-12-10
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2731.0,21.68,2020-12-09
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3961.0,21.69,2020-12-08
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3087.0,21.62,2020-12-07
